14:16:40,128 ,2981.79 ,2746.42 ,2943.68 ,2955.36
14:16:40,132 ,2981.81 ,2746.46 ,2943.73 ,2955.40
14:16:41,136 ,2981.93 ,2746.52 ,2943.76 ,2955.45
14:16:41,140 ,2981.99 ,2746.53 ,2943.90 ,2955.51
14:16:41,144 ,2981.95 ,2746.59 ,2943.84 ,2955.51
14:16:41,148 ,2982.02 ,2746.60 ,2943.89 ,2955.63
14:16:41,152 ,2982.07 ,2746.63 ,2943.91 ,2955.59
14:16:41,156 ,2982.10 ,2746.65 ,2943.97 ,2955.62
14:16:42,160 ,2982.11 ,2746.69 ,2944.04 ,2955.68
14:16:42,164 ,2982.17 ,2746.79 ,2944.07 ,2955.77
14:16:42,168 ,2982.27 ,2746.82 ,2944.13 ,2955.79
14:16:42,172 ,2982.29 ,2746.84 ,2944.10 ,2955.74
14:16:42,176 ,2982.25 ,2746.96 ,2944.20 ,2955.80
14:16:42,180 ,2982.38 ,2746.89 ,2944.29 ,2955.88
14:16:43,184 ,2982.36 ,2746.90 ,2944.27 ,2955.96
14:16:43,188 ,2982.40 ,2746.97 ,2944.26 ,2955.93
14:16:43,192 ,2982.51 ,2747.04 ,2944.31 ,2955.97
14:16:43,196 ,2982.47 ,2747.08 ,2944.35 ,2955.98
14:16:43,200 ,2982.57 ,2747.09 ,2944.39 ,2956.08
14:16:43,204 ,2982.66 ,2747.16 ,2944.46 ,2956.15
14:16:44,208 ,2982.67 ,2747.22 ,2944.52 ,2956.21
14:16:44,212 ,2982.67 ,2747.16 ,2944.58 ,2956.20
14:16:44,216 ,2982.73 ,2747.30 ,2944.56 ,2956.24
14:16:44,220 ,2982.71 ,2747.31 ,2944.68 ,2956.33
14:16:44,224 ,2982.82 ,2747.36 ,2944.72 ,2956.33
14:16:44,228 ,2982.80 ,2747.35 ,2944.70 ,2956.40
14:16:45,232 ,2982.98 ,2747.49 ,2944.82 ,2956.48
14:16:45,236 ,2982.95 ,2747.49 ,2944.86 ,2956.56
14:16:45,240 ,2983.02 ,2747.54 ,2944.88 ,2956.52
14:16:45,244 ,2983.07 ,2747.51 ,2944.94 ,2956.58
14:16:45,248 ,2983.07 ,2747.59 ,2944.98 ,2956.61
14:16:45,252 ,2983.11 ,2747.62 ,2944.97 ,2956.68
14:16:46,256 ,2983.12 ,2747.71 ,2944.97 ,2956.63
14:16:46,260 ,2983.17 ,2747.67 ,2945.03 ,2956.71
